baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_ensembl,gene
13.8461090547201,24.7466384117247,1.75712617758553,14.0835864421126,4.79150529271569e-45,7.26296372269844e-41,SYNJ2BP-COX16_ENSG00000258644,SYNJ2BP-COX16
2.67459302982641,21.2527184186573,1.53166513093821,13.8755645665441,8.90888582540166e-44,6.75204456707192e-40,NRSN2_ENSG00000125841,NRSN2
1.96432798731997,21.5023807351638,1.56938651682747,13.7011376767981,9.99459106077732e-43,5.04993370997542e-39,IQCH_ENSG00000103599,IQCH
3.21944905687743,22.0344067364418,1.61769430561861,13.6208717925949,3.00953566799364e-42,1.14046354138619e-38,SEMA3G_ENSG00000010319,SEMA3G
1.66818564305261,21.6458704465273,1.65479135135225,13.0807249076078,4.24373649088565e-39,1.28653115457689e-35,MNS1_ENSG00000138587,MNS1
1.80318243145514,21.6924515346877,1.66218384585583,13.0505729488176,6.30712841613725e-39,1.59339087553014e-35,AC010132.3_ENSG00000256646,AC010132.3
1.88373242391913,21.4990934145588,1.67019687771756,12.8721911179351,6.4544773256382e-38,1.39767096145748e-34,ZNF443_ENSG00000180855,ZNF443
5.04207766143023,21.3779828890825,1.70344507351785,12.5498516045099,3.9825567478538e-36,7.54594939799599e-33,AC090527.3_ENSG00000260170,AC090527.3
1.64347699038636,21.9953501830765,1.76167452481771,12.4854789424581,8.96025213412513e-36,1.50910557610076e-32,L1CAM_ENSG00000198910,L1CAM
4.00181721289143,22.5131458929045,1.9337844016851,11.6420144217145,2.51992575910252e-31,3.81970346564759e-28,CNGB3_ENSG00000170289,CNGB3
4.21264578708723,22.4833706839975,1.95266345365481,11.5142067323047,1.11884385398383e-30,1.54176683078972e-27,MYLPF_ENSG00000180209,MYLPF
4.16625135392436,22.7200803750575,1.97793052875199,11.4867939216213,1.53711269695068e-30,1.9416295216982e-27,PFN4_ENSG00000176732,PFN4
7.22812291305015,24.0449812136174,2.15362121024251,11.1649073194769,6.05543225395417e-29,7.06063400811056e-26,EFHD1_ENSG00000115468,EFHD1
13.8584009115651,22.6296171345047,2.03416095192026,11.1247918278749,9.50274396318035e-29,1.02887566424206e-25,NSG2_ENSG00000170091,NSG2
2.30696548131596,20.8981908482982,1.88350487805545,11.0953738913985,1.32106444915467e-28,1.33497966135243e-25,CCDC181_ENSG00000117477,CCDC181
7.75620016129583,23.184007921819,2.0939789737987,11.0717481941859,1.7201180087737e-28,1.62959679856199e-25,AC019117.4_ENSG00000283321,AC019117.4
6.23095509978004,23.3140207927132,2.11083068624201,11.0449506654747,2.31895004638459e-28,2.06768498841751e-25,HMGN5_ENSG00000198157,HMGN5
3.78090536637713,21.9158458734866,2.00346853146254,10.9389518873491,7.506264221878e-28,6.32110850417926e-25,OR52M1_ENSG00000197790,OR52M1
2.60310011314431,22.2701786177054,2.03740703618572,10.9306477410611,8.22591305859994e-28,6.56254684959252e-25,TMCO2_ENSG00000188800,TMCO2
2.32014472150701,21.0477705210874,1.93150512146682,10.8970824292215,1.19012384384462e-27,9.01994861249839e-25,SYBU_ENSG00000147642,SYBU
4.00352291878169,23.2837286474988,2.15579126234648,10.8005487609944,3.421524870629e-27,2.46968923757116e-24,VWA3B_ENSG00000168658,VWA3B
3.15445240327782,18.3490744034906,1.70138508469668,10.7847862124416,4.06186687392538e-27,2.79862627613459e-24,HJV_ENSG00000168509,HJV
9.50796254280251,22.9751796671101,2.14323900983219,10.7198401866104,8.21451464800431e-27,5.41372230584562e-24,BRMS1L_ENSG00000100916,BRMS1L
1.85618154295808,21.8677823652546,2.05295728642451,10.6518447850126,1.70943347259845e-26,1.07964969073531e-23,LDHD_ENSG00000166816,LDHD
11.3465131890322,23.0364145357451,2.1716744132721,10.6076741499366,2.74496994474891e-26,1.66433017690016e-23,MYOT_ENSG00000120729,MYOT
9.6172109286123,22.5041120634987,2.12845861235547,10.5729620171446,3.97730469106074e-26,2.31876863488841e-23,SAPCD1_ENSG00000228727,SAPCD1
3.94571927537896,21.4943722929492,2.0454899894142,10.5081777003,7.92092691159925e-26,4.44686704170449e-23,OR52W1_ENSG00000175485,OR52W1
8.09239615950366,20.5387905993038,1.98822399384347,10.3302196648377,5.14426439190385e-25,2.7848842733028e-22,GOLGA6A_ENSG00000159289,GOLGA6A
4.41790973884619,21.5263365565715,2.09634941816873,10.2684869087215,9.77253292599486e-25,5.10800186524931e-22,TPTE2_ENSG00000132958,TPTE2
3.23970003686072,21.3376051549804,2.08596819185636,10.2291133864277,1.46857689899469e-24,7.42022954498715e-22,HKDC1_ENSG00000156510,HKDC1
5.58452787106906,22.6365158975249,2.21909709715407,10.2007775714527,1.96691399057694e-24,9.61757492553717e-22,SH3BP4_ENSG00000130147,SH3BP4
